2026-08-07 09:55:34,062 | INFO | Gemini Embedding Model initialized successfully.
2026-08-07 09:55:34,099 | INFO | Initializing RAG Pipeline...
2026-08-07 09:55:34,100 | INFO | Retriever initialized with Top-K = 3
2026-08-07 09:55:34,101 | INFO | Initializing Prompt Template...
2026-08-07 09:55:34,103 | INFO | Prompt Template initialized successfully.
2026-08-07 09:55:34,104 | INFO | Initializing Gemini Chat Model...
2026-08-07 09:55:36,941 | INFO | Gemini Chat Model initialized successfully.
2026-08-07 09:55:36,942 | INFO | RAG Pipeline initialized successfully.
2026-08-07 20:15:36,824 | INFO | Initializing Gemini Embedding Model...
2026-08-07 20:15:39,793 | INFO | Gemini Embedding Model initialized successfully.
2026-08-07 20:15:40,057 | INFO | Initializing RAG Pipeline...
2026-08-07 20:15:40,059 | INFO | Retriever initialized with Top-K = 3
2026-08-07 20:15:40,069 | INFO | Initializing Prompt Template...
2026-08-07 20:15:40,078 | INFO | Prompt Template initialized successfully.
2026-08-07 20:15:40,079 | INFO | Initializing Gemini Chat Model...
2026-08-07 20:15:42,695 | INFO | Gemini Chat Model initialized successfully.
2026-08-07 20:15:42,696 | INFO | RAG Pipeline initialized successfully.
2026-08-07 20:16:38,582 | INFO | Initializing Gemini Embedding Model...
2026-08-07 20:16:40,063 | INFO | Gemini Embedding Model initialized successfully.
2026-08-07 20:16:40,087 | INFO | Initializing RAG Pipeline...
2026-08-07 20:16:40,088 | INFO | Retriever initialized with Top-K = 3
2026-08-07 20:16:40,088 | INFO | Initializing Prompt Template...
2026-08-07 20:16:40,089 | INFO | Prompt Template initialized successfully.
2026-08-07 20:16:40,089 | INFO | Initializing Gemini Chat Model...
2026-08-07 20:16:41,271 | INFO | Gemini Chat Model initialized successfully.
2026-08-07 20:16:41,271 | INFO | RAG Pipeline initialized successfully.
2026-08-07 22:42:35,979 | INFO | Initializing Gemini Embedding Model...
2026-08-07 22:42:38,070 | INFO | Gemini Embedding Model initialized successfully.
2026-08-07 22:42:38,173 | INFO | Initializing RAG Pipeline...
2026-08-07 22:42:38,174 | INFO | Retriever initialized with Top-K = 3
2026-08-07 22:42:38,174 | INFO | Initializing Prompt Template...
2026-08-07 22:42:38,175 | INFO | Prompt Template initialized successfully.
2026-08-07 22:42:38,176 | INFO | Initializing Gemini Chat Model...
2026-08-07 22:42:40,231 | INFO | Gemini Chat Model initialized successfully.
2026-08-07 22:42:40,232 | INFO | RAG Pipeline initialized successfully.
2026-08-07 22:43:21,448 | INFO | Initializing Gemini Embedding Model...
2026-08-07 22:43:23,585 | INFO | Gemini Embedding Model initialized successfully.
2026-08-07 22:43:23,624 | INFO | Initializing RAG Pipeline...
2026-08-07 22:43:23,625 | INFO | Retriever initialized with Top-K = 3
2026-08-07 22:43:23,625 | INFO | Initializing Prompt Template...
2026-08-07 22:43:23,626 | INFO | Prompt Template initialized successfully.
2026-08-07 22:43:23,627 | INFO | Initializing Gemini Chat Model...
2026-08-07 22:43:25,740 | INFO | Gemini Chat Model initialized successfully.
2026-08-07 22:43:25,741 | INFO | RAG Pipeline initialized successfully.
2026-08-07 22:44:56,247 | INFO | Initializing Gemini Embedding Model...
2026-08-07 22:44:58,387 | INFO | Gemini Embedding Model initialized successfully.
2026-08-07 22:44:58,454 | INFO | Initializing RAG Pipeline...
2026-08-07 22:44:58,454 | INFO | Retriever initialized with Top-K = 3
2026-08-07 22:44:58,455 | INFO | Initializing Prompt Template...
2026-08-07 22:44:58,455 | INFO | Prompt Template initialized successfully.
2026-08-07 22:44:58,456 | INFO | Initializing Gemini Chat Model...
2026-08-07 22:45:00,477 | INFO | Gemini Chat Model initialized successfully.
2026-08-07 22:45:00,477 | INFO | RAG Pipeline initialized successfully.
2026-08-07 22:45:00,480 | INFO | User Question: what is machine learning
2026-08-07 22:45:00,480 | INFO | Searching documents for: what is machine learning
2026-08-07 22:45:01,603 | INFO | 3 relevant chunk(s) retrieved.
2026-08-07 22:45:03,061 | INFO | Response generated successfully.
2026-08-07 23:34:41,795 | INFO | Initializing Gemini Embedding Model...
2026-08-07 23:34:43,846 | INFO | Gemini Embedding Model initialized successfully.
2026-08-07 23:34:43,924 | INFO | Initializing RAG Pipeline...
2026-08-07 23:34:43,925 | INFO | Retriever initialized with Top-K = 3
2026-08-07 23:34:43,925 | INFO | Initializing Prompt Template...
2026-08-07 23:34:43,926 | INFO | Prompt Template initialized successfully.
2026-08-07 23:34:43,927 | INFO | Initializing Gemini Chat Model...
2026-08-07 23:34:46,301 | INFO | Gemini Chat Model initialized successfully.
2026-08-07 23:34:46,302 | INFO | RAG Pipeline initialized successfully.
2026-08-07 23:59:37,589 | INFO | Initializing Gemini Embedding Model...
2026-08-07 23:59:39,605 | INFO | Gemini Embedding Model initialized successfully.
2026-08-07 23:59:39,643 | INFO | Initializing RAG Pipeline...
2026-08-07 23:59:39,644 | INFO | Retriever initialized with Top-K = 3
2026-08-07 23:59:39,645 | INFO | Initializing Prompt Template...
2026-08-07 23:59:39,647 | INFO | Prompt Template initialized successfully.
2026-08-07 23:59:39,647 | INFO | Initializing Gemini Chat Model...
2026-08-07 23:59:41,787 | INFO | Gemini Chat Model initialized successfully.
2026-08-07 23:59:41,788 | INFO | RAG Pipeline initialized successfully.
2026-08-07 23:59:49,880 | INFO | ============================================================
2026-08-07 23:59:49,882 | INFO | Starting RAG Ingestion Pipeline
2026-08-07 23:59:49,883 | INFO | ============================================================
2026-08-07 23:59:49,883 | INFO | Found 4 file(s).
2026-08-07 23:59:49,884 | INFO | Loading Ai.pdf
2026-08-07 23:59:49,986 | INFO | Loaded 1 page(s) from Ai.pdf
2026-08-07 23:59:49,987 | INFO | Loading Deep_Learning.pdf
2026-08-07 23:59:50,050 | INFO | Loaded 1 page(s) from Deep_Learning.pdf
2026-08-07 23:59:50,051 | INFO | Loading Machine_learning.pdf
2026-08-07 23:59:50,123 | INFO | Loaded 1 page(s) from Machine_learning.pdf
2026-08-07 23:59:50,123 | INFO | Loading RAG.pdf
2026-08-07 23:59:50,201 | INFO | Loaded 1 page(s) from RAG.pdf
2026-08-07 23:59:50,202 | INFO | Successfully loaded 4 document(s).
2026-08-07 23:59:50,202 | INFO | Loaded 4 documents.
2026-08-07 23:59:50,204 | INFO | Splitting 4 document(s)...
2026-08-07 23:59:50,205 | INFO | Created 4 chunks.
2026-08-07 23:59:50,205 | INFO | Generated 4 chunks.
2026-08-07 23:59:50,206 | INFO | Initializing Gemini Embedding Model...
2026-08-07 23:59:52,265 | INFO | Gemini Embedding Model initialized successfully.
2026-08-07 23:59:52,296 | INFO | Adding 4 chunks to ChromaDB...
2026-08-07 23:59:53,775 | INFO | Documents indexed successfully.
2026-08-07 23:59:53,776 | INFO | ============================================================
2026-08-07 23:59:53,777 | INFO | Knowledge Base Created Successfully!
2026-08-07 23:59:53,777 | INFO | ============================================================
2026-08-07 23:59:53,783 | INFO | Initializing Gemini Embedding Model...
2026-08-07 23:59:55,950 | INFO | Gemini Embedding Model initialized successfully.
2026-08-07 23:59:55,969 | INFO | Initializing RAG Pipeline...
2026-08-07 23:59:55,969 | INFO | Retriever initialized with Top-K = 3
2026-08-07 23:59:55,969 | INFO | Initializing Prompt Template...
2026-08-07 23:59:55,970 | INFO | Prompt Template initialized successfully.
2026-08-07 23:59:55,970 | INFO | Initializing Gemini Chat Model...
2026-08-07 23:59:58,113 | INFO | Gemini Chat Model initialized successfully.
2026-08-07 23:59:58,114 | INFO | RAG Pipeline initialized successfully.
2026-08-08 00:00:15,981 | INFO | Initializing Gemini Embedding Model...
2026-08-08 00:00:18,088 | INFO | Gemini Embedding Model initialized successfully.
2026-08-08 00:00:18,118 | INFO | Initializing RAG Pipeline...
2026-08-08 00:00:18,118 | INFO | Retriever initialized with Top-K = 3
2026-08-08 00:00:18,119 | INFO | Initializing Prompt Template...
2026-08-08 00:00:18,120 | INFO | Prompt Template initialized successfully.
2026-08-08 00:00:18,120 | INFO | Initializing Gemini Chat Model...
2026-08-08 00:00:20,136 | INFO | Gemini Chat Model initialized successfully.
2026-08-08 00:00:20,137 | INFO | RAG Pipeline initialized successfully.
2026-08-08 00:00:20,141 | INFO | User Question: What do you know about Ai ?
2026-08-08 00:00:20,142 | INFO | Searching documents for: What do you know about Ai ?
2026-08-08 00:00:21,639 | INFO | 3 relevant chunk(s) retrieved.
2026-08-08 00:00:25,829 | INFO | Response generated successfully.
2026-08-08 00:01:33,446 | INFO | Initializing Gemini Embedding Model...
2026-08-08 00:01:35,524 | INFO | Gemini Embedding Model initialized successfully.
2026-08-08 00:01:35,554 | INFO | Initializing RAG Pipeline...
2026-08-08 00:01:35,554 | INFO | Retriever initialized with Top-K = 3
2026-08-08 00:01:35,555 | INFO | Initializing Prompt Template...
2026-08-08 00:01:35,556 | INFO | Prompt Template initialized successfully.
2026-08-08 00:01:35,556 | INFO | Initializing Gemini Chat Model...
2026-08-08 00:01:37,634 | INFO | Gemini Chat Model initialized successfully.
2026-08-08 00:01:37,635 | INFO | RAG Pipeline initialized successfully.
2026-08-08 00:01:37,643 | INFO | User Question: why showing 3 chunking same?
